Date;Flux_LA_LDDS;Flux_LA;Flux_LDDS;Flux_LEP ;Année;TLA/TLDDS;TLEP
2025-12;1.8306277884401538;1.4511044610100878;0.3795233274300083;0.46168227496999054;2025;1.7000000000000002;2.7
2025-11;-0.9640564575701092;-0.7318638337800394;-0.23219262379001293;0.21242554578000394;2025;1.7000000000000002;2.7
2025-10;-5.1044944785397774;-3.8146958362999044;-1.2897986422399867;0.01508160583000695;2025;1.7000000000000002;2.7
2025-09;-2.7075391899502392;-1.9504681716801997;-0.7570710182700111;0.10901994050001029;2025;1.7000000000000002;2.7
2025-08;0.17556582082011118;0.02413267161011845;0.15143314920999273;0.3333204673499779;2025;1.7000000000000002;2.7
2025-07;0.2677900631599641;-0.0724721925000722;0.3402622556600079;0.4514926147600047;2025;2.4;3.5000000000000004
2025-06;0.502625481;0.224174756;0.278450725;0.130164008;2025;2.4;3.5000000000000004
2025-05;1.883043708;1.218406827;0.664636881;-1.187722557;2025;2.4;3.5000000000000004
2025-04;0.108827401;-0.200774602;0.309602002;-1.963689401;2025;2.4;3.5000000000000004
2025-03;1.0167653019500449;0.4038188736299162;0.6129464283199582;0.13903126936999577;2025;2.4;3.5000000000000004
2025-02;1.6218689946599625;0.9718454021701177;0.6500235924900153;0.34506472388999576;2025;2.4;3.5000000000000004
2025-01;0.8943978570699755;0.3523062117499194;0.5420916453200277;0.11285057281001443;2025;3.0;4.0
2024-12;3.934054480400265;2.993344821450247;0.9407096589500181;0.625318926250015;2024;3.0;4.0
2024-11;0.5553564901098298;0.3999486551398377;0.1554078349699921;0.34466498691998027;2024;3.0;4.0
2024-10;-2.583940908870005;-1.9432588391100012;-0.640682069760004;0.2134641844700127;2024;3.0;4.0
2024-09;0.21345559339994225;0.21187229633994775;0.0015832970599944929;0.32987281987001893;2024;3.0;4.0
2024-08;1.9850810861300658;1.496844499590111;0.48823658653995494;0.3911198520399779;2024;3.0;4.0
2024-07;2.303354537030117;1.5695670790900067;0.7337874579401102;0.45862854828000366;2024;3.0;5.0
2024-06;1.8242147577998082;1.2316968574298812;0.592517900369927;0.5749423530500053;2024;3.0;5.0
2024-05;1.8687408445401275;1.263854708520114;0.6048861360200135;-0.043307644280019986;2024;3.0;5.0
2024-04;2.23899281248012;1.4817766069601248;0.7572162055199954;-0.27330141896999294;2024;3.0;5.0
2024-03;2.4383706209000025;1.533053212919981;0.9053174079800215;0.9522115159800109;2024;3.0;5.0
2024-02;3.3970241899799305;2.3618208374099368;1.0352033525699937;1.3874330427999837;2024;3.0;5.0
2024-01;3.247163463880156;2.2672946460201615;0.9798688178599946;1.922252106260018;2024;3.0;6.0
